date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:28:55	75494/75494	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202025%2011:08:20%20GMT	https://internal-services/commercial-maintenance	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025//internal-services/commercial-maintenance.html	(from https://)
17:28:55	194/194	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227a6159fc4600d07288f75a426c59b2a3%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671ab074a581bd6fb9ea4807_Icon.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671ab074a581bd6fb9ea4807_Icon.svg	(from https://)
17:28:55	195/195	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c437085b9b92b0f9b24b940b0809dee1%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671ab0744bce2fcf0833f161_Icon%20(1).svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671ab0744bce2fcf0833f161_Icon%20(1).svg	(from https://)
17:28:56	371998/371998	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224f9c194a2aee5e950c49655c3690b38a%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671e11696be161371d1e2dfa_client1.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671e11696be161371d1e2dfa_client1.svg	(from https://)
17:28:56	84080/84080	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b0f37e5c936d4ac717a2f646d22eae82%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671e1199a0f90c680f816b9f_client2.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671e1199a0f90c680f816b9f_client2.svg	(from https://)
17:28:56	1105/1105	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f09222ef24f1c5e42ebf1d01b5263f8a%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671e11a9f92675cb73c20d27_client3.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671e11a9f92675cb73c20d27_client3.svg	(from https://)
17:28:56	261505/261505	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f7f5b8c2f4790e1b58c4a5a8e043e69e%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671e11d2dc4f64af63d0dd62_client4.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671e11d2dc4f64af63d0dd62_client4.svg	(from https://)
17:28:56	26751/26751	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22715027a3b996c6763152bc592a4c7c72%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671e11dd16968fd1818b41e2_client5.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671e11dd16968fd1818b41e2_client5.svg	(from https://)
17:28:57	13050/13050	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d2b6d63ac1005e7c0cc56064e2dec36e%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671e11eb6f4c86e30481194c_client6.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671e11eb6f4c86e30481194c_client6.svg	(from https://)
17:28:57	69896/69896	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22db83b02de9cb96e89d98ab17e787f2a1%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671e1202defc7bcd58f746f8_client7.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671e1202defc7bcd58f746f8_client7.svg	(from https://)
17:28:57	1402/1402	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221d28043842937d313564a9b77a0f50f4%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671be9471ed052ea7801b1ee_quoteblsvg.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671be9471ed052ea7801b1ee_quoteblsvg.svg	(from https://)
17:28:57	2847/2847	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fe5002c87dcb9d8ea45c628c912aca5%22	https://cdn.prod.website-files.com/6706a6e8fcc70fae4bf208cf/6707e48c8ff7c05ae2940c7d_Google.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/6706a6e8fcc70fae4bf208cf/6707e48c8ff7c05ae2940c7d_Google.svg	(from https://)
17:28:57	1175/1175	---M--	200	added ('OK')	image/png	etag:%22cb50a3e4f2de050871cf737713029f40%22	https://cdn.prod.website-files.com/64e15f03bafc824817992c4d/64e160e8e5ca48456f84a085_Vector.png	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/64e15f03bafc824817992c4d/64e160e8e5ca48456f84a085_Vector.png	(from https://)
17:28:58	251/251	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e482b18591aa1aaf3cf2a4cad6cc486d%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671d870f0f7c9d454be88760_Untitled.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671d870f0f7c9d454be88760_Untitled.svg	(from https://)
17:28:58	252/252	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228f048d90ec8391d79fd09eb0af5fc501%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671d870fecfa218063699bc8_Untitled%20(1).svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671d870fecfa218063699bc8_Untitled%20(1).svg	(from https://)
17:28:58	1872/1872	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c4ed79cbce9be3793153b76ac337f565%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671bee1cb9fa2bfd187d0fb3_address.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671bee1cb9fa2bfd187d0fb3_address.svg	(from https://)
17:28:58	822/822	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224223c8029dde7533e7a69fdd1931562d%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671bef6071ccccd7400c9c67_email1.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671bef6071ccccd7400c9c67_email1.svg	(from https://)
17:28:58	3596/3596	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2245510663d6b6ce34e49a1660d0dec10a%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671bef6a71ccccd7400ca39e_phone.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671bef6a71ccccd7400ca39e_phone.svg	(from https://)
17:28:59	31806/31806	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c9fcd146000cbdf1bd3421a4f5f5cca6%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671c7fa484628304be63f73a_primary%201%20(1).svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671c7fa484628304be63f73a_primary%201%20(1).svg	(from https://)
17:28:59	692/692	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2270e7cbccd118a2382b8a4ab24fce34ae%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671c8254f2358c2e99e743eb_Frame%20427320208.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671c8254f2358c2e99e743eb_Frame%20427320208.svg	(from https://)
17:29:00	187702/187702	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2001:29:04%20GMT	https://www.google.com/maps/place/Northwood+Landscaping/@32.753976,-97.23447,211385m/data=!3m1!1e3!4m18!1m9!3m8!1s0x864e63db943d36f3:0xc084752027210316!2sNorthwood+Landscaping!8m2!3d32.753976!4d-97.23447!9m1!1b1!16s%2Fg%2F11hkxhdxs2!3m7!1s0x864e63db943d36f3:0xc084752027210316!8m2!3d32.753976!4d-97.23447!9m1!1b1!16s%2Fg%2F11hkxhdxs2?entry=ttu&g_ep=EgoyMDI0MTAyNy4wIKXMDSoASAFQAw%3D%3D	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/www.google.com/maps/place/Northwood+Landscaping/@32.753976,-97.23447,211385m/data=!3m1!1e3!4m18!1m9!3m8!1s0x864e63db943d36f3/g/11hkxhdxs2!3m/11hkxhdxs2.35ddbf.delay	(from https://)
17:29:00	1029/1029	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221c1f44aef2a4bcc256b42cd812ef11be%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671c8254b0729bd414e08208_Frame%20427320209.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671c8254b0729bd414e08208_Frame%20427320209.svg	(from https://)
17:29:00	1508/1508	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220c0ec1d2d79222954a4cac3f7d40ba8c%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671c13fb41f0e8d674439f53_Vector.svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671c13fb41f0e8d674439f53_Vector.svg	(from https://)
17:29:00	538/538	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22dc8a7e5df04d075ea82c05573cd57f1b%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/671c13fb41f0e8d674439f5e_Vector%20(1).svg	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/671c13fb41f0e8d674439f5e_Vector%20(1).svg	(from https://)
17:29:01	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=671a91ee07626cd6dad29988	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8f958.js	(from https://)
